candidate_id,test_time,answers_count,Avg_RT,correct,correct_percent,efficiency,con_RT,stddev_con_RT,cov_con,inc_RT,stddev_inc_RT,cov_inc,con_correct,inc_correct,con_index,inc_index,conflict_index,con_time_minus_incontime,con_count,inc_count,Con_RT_Correct
30073,2019-07-18T21:19:57.002Z,20,529.65,16,80,662.0625,508.1,58.08126491,0.114310697,551.2,75.46419313,0.136908914,10,6,508.1,918.6666667,410.5666667,-43.1,10,10,508.1
30074,2019-07-18T23:33:06.778Z,20,590.1,19,95,621.1578947,593.9,111.2938553,0.187394941,586.3,83.14251486,0.141808826,10,9,593.9,651.4444444,57.54444444,7.6,10,10,593.9
30075,2019-07-23T21:27:01.550Z,20,531.7,19,95,559.6842105,476.5,129.9899569,0.272801588,586.9,115.56571,0.19690869,10,9,476.5,652.1111111,175.6111111,-110.4,10,10,476.5
30076,2019-07-18T23:09:42.628Z,20,547.4,19,95,576.2105263,491.7,55.69570101,0.113271712,603.1,50.78155833,0.084200893,10,9,491.7,670.1111111,178.4111111,-111.4,10,10,491.7
30078,2019-07-18T21:16:09.044Z,20,451.65,19,95,475.4210526,431.7,37.17541003,0.086113991,471.6,51.30778585,0.108795135,10,9,431.7,524,92.3,-39.9,10,10,431.7
30079,2019-07-18T21:19:41.957Z,20,494.5,18,90,549.4444444,454.8,88.16499683,0.193854435,534.2,68.71486981,0.128631355,9,9,505.3333333,593.5555556,88.22222222,-79.4,10,10,480.7777778
30080,2019-07-18T21:30:52.061Z,20,462.45,17,85,544.0588235,364.8,168.9114166,0.463024717,560.1,70.45321537,0.125786851,9,8,405.3333333,700.125,294.7916667,-195.3,10,10,387.1111111
30081,2019-07-23T22:25:45.694Z,20,617.25,15,75,823,502.3,49.1551964,0.097860236,732.2,559.8217573,0.764574921,10,5,502.3,1464.4,962.1,-229.9,10,10,502.3
30081,2019-07-23T22:25:01.183Z,20,617.25,15,75,823,502.3,49.1551964,0.097860236,732.2,559.8217573,0.764574921,10,5,502.3,1464.4,962.1,-229.9,10,10,502.3
30082,2019-07-18T21:13:32.527Z,20,571.9,16,80,714.875,456,53.74425034,0.117860198,687.8,377.4007007,0.548707038,10,6,456,1146.333333,690.3333333,-231.8,10,10,456
30083,2019-07-23T21:00:05.683Z,20,595.55,18,90,661.7222222,567.9,68.59292157,0.120783451,623.2,195.0548641,0.312989191,9,9,631,692.4444444,61.44444444,-55.3,10,10,573.2222222
